0,1,2,3
OH,R392,CH2O,R223
OH,R440,HPALD3,R889
OH,R440,HPETHNL,R870
OH,R440,IHPOO1,R442
OH,R440,IHPOO1,R445
OH,R440,HPALD1,R427
OH,R440,HPALD1,R887
OH,R440,HC5A,R431
OH,R440,IHOO1,R401
OH,R440,IHOO1,R405
OH,R440,IHOO1,R406
OH,R440,IHOO1,R412
OH,R440,IHOO1,R414
OH,R440,IHOO1,R416
OH,R440,IHOO1,R422
OH,R440,MCO3,R598
OH,R440,CH2O,R223
OH,R440,HO2,R15
OH,R440,HO2,R22
OH,R440,HO2,R44
OH,R440,HO2,R89
OH,R440,HO2,R90
OH,R440,HO2,R113
OH,R440,HO2,R204
OH,R440,HO2,R216
OH,R440,HO2,R267
OH,R440,HO2,R401
OH,R440,HO2,R403
OH,R440,HO2,R445
OH,R440,HO2,R449
OH,R440,HO2,R453
OH,R440,HO2,R461
OH,R440,HO2,R468
OH,R440,HO2,R469
OH,R440,HO2,R474
OH,R440,HO2,R476
OH,R440,HO2,R488
OH,R440,HO2,R492
OH,R440,HO2,R497
OH,R440,HO2,R500
OH,R440,HO2,R503
OH,R440,HO2,R507
OH,R440,HO2,R534
OH,R440,HO2,R535
OH,R440,HO2,R543
OH,R440,HO2,R546
OH,R440,HO2,R559
OH,R440,HO2,R562
OH,R440,HO2,R570
OH,R440,HO2,R573
OH,R440,HO2,R574
OH,R440,HO2,R581
OH,R440,HO2,R598
OH,R440,HO2,R633
RIPC,R440,IHOO1,R402
RIPC,R440,HO2,R402
OH,R589,MCRHP,R878
OH,R589,HO2,R15
OH,R589,HO2,R22
OH,R589,HO2,R44
OH,R589,HO2,R89
OH,R589,HO2,R90
OH,R589,HO2,R113
OH,R589,HO2,R204
OH,R589,HO2,R216
OH,R589,HO2,R267
OH,R589,HO2,R401
OH,R589,HO2,R403
OH,R589,HO2,R445
OH,R589,HO2,R449
OH,R589,HO2,R453
OH,R589,HO2,R461
OH,R589,HO2,R468
OH,R589,HO2,R469
OH,R589,HO2,R474
OH,R589,HO2,R476
