0,1,2,3
R420,NO2,R51,NO
R420,NO2,R209,NO
R420,NO2,R760,NO
R609,NO2,R16,NO3
R609,NO2,R212,NO3
R609,NO2,R340,NO3
R609,NO2,R347,NO3
R609,NO2,R639,NO3
R124,MO2,R86,HAC
R124,MO2,R99,HAC
R124,MO2,R416,OH
R124,MO2,R418,OH
R124,MO2,R585,HAC
R124,OH,R137,HAC
R124,OH,R391,HAC
R124,OH,R432,HAC
R124,OH,R555,HAC
R124,OH,R569,HAC
R124,OH,R575,HAC
R124,OH,R587,HAC
H,R215,OH,R202
H,R215,OH,R203
H,R216,OH,R202
H,R216,OH,R203
H,R217,O,R203
ClNO3,R284,ClO,R271
ClNO3,R816,NO2,R271
ClNO3,R816,ClO,R271
R551,MCO3,R368,MACR
R551,MCO3,R514,MACR
R551,MCO3,R598,O3
R551,OH,R430,MACR
R551,OH,R439,MACR
R185,HBr,R171,Br
R185,HBr,R178,Br
R185,HBr,R225,Br
R653,RCO3,R113,OH
R653,HO2,R15,OH
R653,HO2,R22,OH
R653,HO2,R44,OH
R653,HO2,R89,OH
R653,HO2,R90,OH
R653,HO2,R113,OH
R653,HO2,R204,OH
R653,HO2,R216,OH
R653,HO2,R267,OH
R653,HO2,R401,OH
R653,HO2,R403,OH
R653,HO2,R445,OH
R653,HO2,R449,OH
R653,HO2,R453,OH
R653,HO2,R461,OH
R653,HO2,R468,OH
R653,HO2,R469,OH
R653,HO2,R474,OH
R653,HO2,R476,OH
R653,HO2,R488,OH
R653,HO2,R492,OH
R653,HO2,R497,OH
R653,HO2,R500,OH
R653,HO2,R503,OH
R653,HO2,R507,OH
R653,HO2,R534,OH
R653,HO2,R535,OH
R653,HO2,R543,OH
R653,HO2,R546,OH
R653,HO2,R559,OH
R653,HO2,R562,OH
R653,HO2,R570,OH
R653,HO2,R573,OH
R653,HO2,R574,OH
R653,HO2,R581,OH
R653,HO2,R598,OH
R653,HO2,R619,OH
R653,HO2,R633,OH
R147,ACET,R776,MCO3
R147,MO2,R97,B3O2
R147,MO2,R99,MCO3
R147,MO2,R100,MCO3
R147,MO2,R129,B3O2
R147,HO2,R89,MCO3
R147,HO2,R90,MCO3
R147,HO2,R113,B3O2
R147,HO2,R570,MCO3
R147,HO2,R574,MCO3
R367,PRPE,R115,MO2
R367,HO2,R574,MO2
R367,HO2,R598,MO2
R160,MO2,R99,MCO3
R160,MO2,R100,MCO3
PAN,R56,MCO3,R55
PAN,R56,NO2,R55
PAN,R774,MCO3,R55
PAN,R774,NO2,R55
