0,1,2,3,4,5
R494,IDN,R544,NO2,R51,NO
R494,IDN,R544,NO2,R209,NO
R494,IDN,R544,NO2,R760,NO
R494,IDN,R899,NO2,R51,NO
R494,IDN,R899,NO2,R209,NO
R494,IDN,R899,NO2,R760,NO
R420,MVK,R548,OH,R397,IHOO1
R420,MVK,R548,OH,R438,IHOO1
R420,MVK,R548,OH,R440,IHOO1
R420,CH2O,R223,OH,R397,IHOO1
R420,CH2O,R223,OH,R438,IHOO1
R420,CH2O,R223,OH,R440,IHOO1
R420,NO2,R16,NO3,R51,NO
R420,NO2,R16,NO3,R770,NO
R420,NO2,R212,NO3,R51,NO
R420,NO2,R212,NO3,R770,NO
R420,NO2,R221,N2O,R196,NO
R420,NO2,R221,O,R209,NO
R420,NO2,R340,NO3,R51,NO
R420,NO2,R340,NO3,R770,NO
R420,NO2,R347,NO3,R51,NO
R420,NO2,R347,NO3,R770,NO
R420,NO2,R639,NO3,R51,NO
R420,NO2,R639,NO3,R770,NO
R420,NO2,R663,HNO2,R766,NO
R420,NO2,R760,O,R209,NO
R420,HO2,R15,OH,R397,IHOO1
R420,HO2,R15,OH,R438,IHOO1
R420,HO2,R15,OH,R440,IHOO1
R420,HO2,R22,NO2,R51,NO
R420,HO2,R22,NO2,R209,NO
R420,HO2,R22,NO2,R760,NO
R420,HO2,R22,OH,R397,IHOO1
R420,HO2,R22,OH,R438,IHOO1
R420,HO2,R22,OH,R440,IHOO1
R420,HO2,R44,NO2,R51,NO
R420,HO2,R44,NO2,R209,NO
R420,HO2,R44,NO2,R760,NO
R420,HO2,R44,OH,R397,IHOO1
R420,HO2,R44,OH,R438,IHOO1
R420,HO2,R44,OH,R440,IHOO1
R420,HO2,R89,OH,R397,IHOO1
R420,HO2,R89,OH,R438,IHOO1
R420,HO2,R89,OH,R440,IHOO1
R420,HO2,R90,OH,R397,IHOO1
R420,HO2,R90,OH,R438,IHOO1
R420,HO2,R90,OH,R440,IHOO1
R420,HO2,R113,OH,R397,IHOO1
R420,HO2,R113,OH,R438,IHOO1
R420,HO2,R113,OH,R440,IHOO1
R420,HO2,R204,OH,R397,IHOO1
R420,HO2,R204,OH,R438,IHOO1
R420,HO2,R204,OH,R440,IHOO1
R420,HO2,R216,OH,R397,IHOO1
R420,HO2,R216,OH,R438,IHOO1
R420,HO2,R216,OH,R440,IHOO1
R420,HO2,R217,O,R209,NO
R420,HO2,R267,OH,R397,IHOO1
R420,HO2,R267,OH,R438,IHOO1
R420,HO2,R267,OH,R440,IHOO1
R420,HO2,R401,RIPA,R438,IHOO1
R420,HO2,R401,OH,R397,IHOO1
R420,HO2,R401,OH,R438,IHOO1
R420,HO2,R401,OH,R440,IHOO1
R420,HO2,R402,RIPC,R440,IHOO1
R420,HO2,R403,OH,R397,IHOO1
R420,HO2,R403,OH,R438,IHOO1
R420,HO2,R403,OH,R440,IHOO1
R420,HO2,R445,OH,R397,IHOO1
R420,HO2,R445,OH,R438,IHOO1
R420,HO2,R445,OH,R440,IHOO1
R420,HO2,R449,OH,R397,IHOO1
R420,HO2,R449,OH,R438,IHOO1
