species index (starts from 1),from,to,stoichiometric value 
32,R1,LOx,1.000000
35,R1,PSO4,1.000000
108,R1,SO4,1.000000
144,SALAAL,R1,2.000000
269,O3,R1,1.000000
286,SO2,R1,1.000000
144,SALAAL,R2,1.000000
271,HCl,R2,1.000000
278,R2,SALACL,1.000000
58,R3,NIT,1.000000
144,SALAAL,R3,1.000000
260,HNO3,R3,1.000000
28,R4,SO4s,1.000000
32,R4,LOx,1.000000
135,SALCAL,R4,2.000000
269,O3,R4,1.000000
286,SO2,R4,1.000000
135,SALCAL,R5,1.000000
271,HCl,R5,1.000000
282,R5,SALCCL,1.000000
59,R6,NITs,1.000000
135,SALCAL,R6,1.000000
260,HNO3,R6,1.000000
35,R7,PSO4,1.000000
108,R7,SO4,1.000000
208,H2O2,R7,1.000000
286,SO2,R7,1.000000
32,R8,LOx,1.000000
35,R8,PSO4,1.000000
108,R8,SO4,1.000000
269,O3,R8,1.000000
286,SO2,R8,1.000000
35,R9,PSO4,1.000000
108,R9,SO4,1.000000
286,SO2,R9,1.000000
85,R10,HMS,1.000000
262,CH2O,R10,1.000000
286,SO2,R10,1.000000
85,HMS,R11,1.000000
262,R11,CH2O,1.000000
286,R11,SO2,1.000000
35,R12,PSO4,2.000000
85,HMS,R12,1.000000
108,R12,SO4,2.000000
262,R12,CH2O,1.000000
279,OH,R12,1.000000
286,SO2,R12,1.000000
32,R13,LOx,1.000000
269,O3,R13,1.000000
270,R13,NO2,1.000000
280,NO,R13,1.000000
32,R14,LOx,1.000000
269,O3,R14,1.000000
279,OH,R14,1.000000
281,R14,HO2,1.000000
32,R15,LOx,1.000000
269,O3,R15,1.000000
279,R15,OH,1.000000
281,HO2,R15,1.000000
32,R16,LOx,1.000000
269,O3,R16,1.000000
270,NO2,R16,1.000000
283,R16,NO3,1.000000
32,R17,LOx,1.000000
262,R17,CH2O,1.000000
263,MO2,R17,1.000000
269,O3,R17,1.000000
281,R17,HO2,1.000000
273,R18,H2O,1.000000
279,OH,R18,2.000000
284,R18,O,1.000000
37,R19,PH2O2,1.000000
208,R19,H2O2,1.000000
279,OH,R19,2.000000
273,R20,H2O,1.000000
279,OH,R20,1.000000
281,HO2,R20,1.000000
208,H2O2,R21,1.000000
273,R21,H2O,1.000000
279,OH,R21,1.000000
281,R21,HO2,1.000000
270,R22,NO2,1.000000
279,R22,OH,1.000000
280,NO,R22,1.000000
281,HO2,R22,1.000000
37,R23,PH2O2,1.000000
208,R23,H2O2,1.000000
281,HO2,R23,2.000000
6,R24,CO2,1.000000
34,R24,LCO,1.000000
258,CO,R24,1.000000
279,OH,R24,1.000000
281,R24,HO2,1.000000
36,R25,LCH4,1.000000
186,CH4,R25,1.000000
263,R25,MO2,1.000000
273,R25,H2O,1.000000
279,OH,R25,1.000000
262,R26,CH2O,1.000000
263,MO2,R26,1.000000
