! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.0.0-rc.3.flux symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : small_strato_BiadjacencyMatrix.csv
! Equation file        : small_strato.kpp
! Output root filename : small_strato
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species index (row), reaction index (col), stoichiometric coefficient
2, 1, 2.000000
2, 2, -1.000000
3, 2, 1.000000
2, 3, 1.000000
3, 3, -1.000000
2, 4, -1.000000
3, 4, -1.000000
1, 5, 1.000000
3, 5, -1.000000
1, 6, -1.000000
2, 6, 1.000000
1, 7, -1.000000
3, 7, -1.000000
3, 8, -1.000000
4, 8, -1.000000
5, 8, 1.000000
2, 9, -1.000000
4, 9, 1.000000
5, 9, -1.000000
2, 10, 1.000000
4, 10, 1.000000
5, 10, -1.000000
